content,score,at,clean,processed,sentiment
keren,5,2026-03-09 12:50:13,keren,keren,positive
"tukar vocer qpon saldo udah kepotong status belum bayar, jadi 2x bayar... mohon ditindak lanjut biar gak ada yang seperti itu lagi",1,2026-03-09 10:43:06,tukar vocer qpon saldo udah kepotong status belum bayar jadi x bayar mohon ditindak lanjut biar gak ada yang seperti itu lagi,tukar vocer qpon saldo potong status bayar bayar mohon tindak biar,negative
"promonya kurang masih mahal, murahan jga tiktok",1,2026-03-09 06:11:40,promonya kurang masih mahal murahan jga tiktok,promonya mahal murah jga tiktok,negative
very good .. all in one..,5,2026-03-09 02:58:33,very good all in one,very good all in one,positive
"UNINSTALL AJA GUYS MAKIN LAMA MAKIN JELEK, MAKIN ANEH, MASA DAPAT VOUCHER 5RB TERUS BESOK CHECK-IN LAGI BERUBAH JADI CUMA DAPAT 3 RB AWALNYA DOANG BAGUS TERUS HARGA ASLI SEBELUM DISKON MALAH LEBIH MAHAL DARI OFFSTORE, DITANYA KE CS GA TAU JAWABANNYA. KASI BINTANG 1 AJA UDAH BAGUS BANGET HARUSNYA GA ADA BINTANG UNTUK APLIKASI INI",1,2026-03-09 01:43:27,uninstall aja guys makin lama makin jelek makin aneh masa dapat voucher rb terus besok check in lagi berubah jadi cuma dapat rb awalnya doang bagus terus harga asli sebelum diskon malah lebih mahal dari offstore ditanya ke cs ga tau jawabannya kasi bintang aja udah bagus banget harusnya ga ada bintang untuk aplikasi ini,uninstall guys jelek aneh voucher rb besok check in ubah rb doang bagus harga asli diskon mahal offstore cs tau jawab kasi bintang bagus bintang aplikasi,negative
sangat bagus aplikasi ini.. dan mudah di pahami..,5,2026-03-08 21:20:27,sangat bagus aplikasi ini dan mudah di pahami,bagus aplikasi mudah paham,positive
"aplikasi gaje, orang buat akun malah terdeteksi akun ga normal. aplikasi lu yang ga normal",1,2026-03-08 12:19:12,aplikasi gaje orang buat akun malah terdeteksi akun ga normal aplikasi lu yang ga normal,aplikasi gaje orang akun deteksi akun normal aplikasi lu normal,negative
beberapa kali berkendala voucher tdk berlaku di outlet. namun bisa refund dan pelayanan online beserta respon yang diberikan cukup baik.,5,2026-03-08 07:12:03,beberapa kali berkendala voucher tdk berlaku di outlet namun bisa refund dan pelayanan online beserta respon yang diberikan cukup baik,kali kendala voucher tdk laku outlet refund layan online serta respon,positive
"br mau login, malah gbisa nih.. ket nya akun terdeteksi tdk normal.. nyoba login lg d tgl 8/3/26 tetap gbisa wkwk pas tgl 02 kmrn chat cs nya dsruh cb lg besok udh brpa hri ttp gbisa.. Nyoba di hp suami, bisa login tp gbisa pembayaran.. mending g usah ada deh sekalian aplikasi nya nyampah bgt",2,2026-03-08 05:38:58,br mau login malah gbisa nih ket nya akun terdeteksi tdk normal nyoba login lg d tgl tetap gbisa wkwk pas tgl kmrn chat cs nya dsruh cb lg besok udh brpa hri ttp gbisa nyoba di hp suami bisa login tp gbisa pembayaran mending g usah ada deh sekalian aplikasi nya nyampah bgt,br login gbisa ket akun deteksi tdk normal nyoba login lg tgl gbisa wkwk pas tgl kmrn chat cs dsruh cb lg besok brpa hri ttp gbisa nyoba hp suami login gbisa bayar mending deh aplikasi nyampah,negative
bgus,5,2026-03-07 13:11:48,bgus,bgus,positive
